title,price,rating,reviews,availability,img,description,user
"DEERC D60 Drones with Camera for Adults, Kids, FPV 1080P HD Video, Long Battery Life, Gravity Sensor, Foldable, Hobby RC Quadcopter, Suitable as Gifts for Boys, Girls, Beginner Adults, 1 Piece, Black",69.,4.0 out of 5 stars,308 ratings,In Stock,https://m.media-amazon.com/images/I/61jP2ePld7L.__AC_SX300_SY300_QL70_ML2_.jpg,"About this item    Astounding cost-effectiveness - A great pick for drone beginners that shoots 1920x1080P HD photos, capturing every priceless moment of life. The camera angle is 90°adjustable through the controller, letting you find the perfect frame for your photo. The 2.4Ghz Real-time transmission sends live image directly to your phone, offering you a immersive view from the sky.    Amazingly long flight time - Tired of switching batteries inbetween flights? Not the case with D60! A max. flight time of 22 min. with a single battery guarantees a hassle-free flying experience. It is also equipped with overcharge protection mechanism. Fly longer, charge safer!    Paper, scissors- Now you have the ""force"", to control the drone camera with your hand - ""paper"" to start recording, and ""scissors"" to take a picture. Or make it respond to simple voice commands with the voice control function.The future is now, these intelligent functions will make your friends ""wow"".    A royal road to become pro pilot - D60 is an excellent drone for beginners. These beginner-friendly functions: Altitude-Hold, Emergency Stop, Headless Mode, One Key Start/Land, Trim, 3 different speeds... You can also add some interesting touches to your aerial videos via functions like Circle and Auto Spin.The only limitation is your imagination!    Turn your phone into a gaming console - Open up the Gravity-Sensor Mode, and you can control the direction of the drone by simply tilting the drone in different directions. Activate the TapFly function, and the phone screen now turns into a canvas: tap or draw a flight route on the map, the drone will follow it!    
›  See more product details",
"Drone with Camera for Adults, Brushless Motor 1080P FPV Foldable RC Quadcopter with 2 Batteries&Carrying Case, Altitude Hold, Headless Mode, One Key Start, 360° Flips, Beyond-Range Loss Alert, Gifts for Men (PL510)",109.,4.8 out of 5 stars,42 ratings,In Stock,https://m.media-amazon.com/images/I/711htjigafL.__AC_SX300_SY300_QL70_ML2_.jpg,"About this item    【Brushless Motor, Highly Stable, Optical Flow Positioning】Brushless remote control drone, in contrast to brushed models, boast extended lifespans and lower power consumption. The fan blades can attain higher speeds, and a built-in altitude maintenance system ensures stable hovering at desired heights. Enhanced wind resistance is achieved through optical flow ground detection.    【1080P FPV Drone & Wi-Fi Real-Time Transmission】Through the APP control and Wi-Fi real-time transmission function, immerse yourself in the world of high-definition with our cutting-edge 1080P HD FPV drones with camera. Enjoy a vivid, detailed perspective from the 120° wide-angle lens, making it perfect for capturing family reunions or scenic beach landscapes.    【Total Control at Your Fingertops】 PLEGBLE camera drone are tailor-made for beginners, ensuring extended flight times and equipped with safety features such as One-key Takeoff/Landing, Headless Mode, Altitude Hold and Beyond-Range Loss Alert for a worry-free flying experience. With emergency stop, and 360° flip capabilities, 3 speed modes: high/medium/low, the rc drone opens up a seamless adventure experience.    【Durable Drones for Adventure Seekers】The package, with a sturdy suitcase for outdoor ease, includes 2*1200mAh batteries, offering an impressive 26-30min flight. Crafted from robust ABS, our drones assure toughness against impacts. Vivid paint, and accessories like a remote controller with an 328ft (100meter) control range, and spare fan blades make it a top-notch gift choice.    【Beyond-Range and Data Loss Alert】Always stay informed about your drone's location, ensuring a safer and more reliable flying experience whether indoors or outdoors. The beyond-range alert (295-328 ft) empowers users with control boundaries, minimizing the risk of losing the drone. However, it is important to note that in high wind conditions, cautious flying (preferably in second or third speed mode) is advised to prevent drone loss.    【Ultra-Lightweight, No FAA or Remote ID Registration Required】PLEGBLE PL510, drone with camera for adults, boasts the latest design and weighs less than 0.55LB(250 grams). This fpv drone offers a perfect solution for worry-free flying in the United States without the need for FAA or Remote ID registration. Ideal for capturing breathtaking footage anytime.    【PLEGBLE: Elevating Your Drone Experience】Experience ongoing improvements in your flight and shooting quality with the enhanced features of the PL-510 drone. Unleash its full potential through detailed video tutorials and instructions. Need assistance during drone operation? Message our customer support for immediate issue resolution.    
›  See more product details",
"DJI Mini 4 Pro (DJI RC 2), Folding Mini-Drone with 4K HDR Video Camera for Adults, Under 0.549 lbs/249 g, 34 Mins Flight Time, 20 km Max Video Transmission Distance, Omnidirectional Vision Sensing",959.,4.6 out of 5 stars,"1,902",In Stock,https://m.media-amazon.com/images/I/617rfzwf0fL.__AC_SX300_SY300_QL70_ML2_.jpg,"About this item    𝗨𝗻𝗱𝗲𝗿 𝟮𝟰𝟵 𝗴, 𝗡𝗼 𝗥𝗲𝗴𝗶𝘀𝘁𝗿𝗮𝘁𝗶𝗼𝗻 𝗜𝘀 𝗥𝗲𝗾𝘂𝗶𝗿𝗲𝗱[1] - Travel light and skip registration for a user-friendly, easy-to-carry experience on all your journeys. Enjoy the fun of flying without the tedious application process and waiting time.    𝗡𝗼𝘁𝗲: For the latest aircraft firmware, 𝘁𝗵𝗲 𝗥𝗲𝗺𝗼𝘁𝗲 𝗜𝗗 𝘄𝗶𝗹𝗹 𝗼𝗻𝗹𝘆 𝗯𝗲 𝗮𝗰𝘁𝗶𝘃𝗮𝘁𝗲𝗱 𝘄𝗵𝗲𝗻 𝘁𝗵𝗲 𝗜𝗻𝘁𝗲𝗹𝗹𝗶𝗴𝗲𝗻𝘁 𝗙𝗹𝗶𝗴𝗵𝘁 𝗕𝗮𝘁𝘁𝗲𝗿𝘆 𝗣𝗹𝘂𝘀 𝗶𝘀 𝘂𝘀𝗲𝗱. If your drone needs to be registered, such as 𝗳𝗹𝗶𝗴𝗵𝘁𝘀 𝗳𝗼𝗿 𝗰𝗼𝗺𝗺𝗲𝗿𝗰𝗶𝗮𝗹 𝗽𝘂𝗿𝗽𝗼𝘀𝗲𝘀, 𝗽𝗹𝗲𝗮𝘀𝗲 𝗳𝗹𝘆 𝘄𝗶𝘁𝗵 𝘁𝗵𝗲 𝗜𝗻𝘁𝗲𝗹𝗹𝗶𝗴𝗲𝗻𝘁 𝗙𝗹𝗶𝗴𝗵𝘁 𝗕𝗮𝘁𝘁𝗲𝗿𝘆 𝗣𝗹𝘂𝘀.    𝗢𝗺𝗻𝗶𝗱𝗶𝗿𝗲𝗰𝘁𝗶𝗼𝗻𝗮𝗹 𝗢𝗯𝘀𝘁𝗮𝗰𝗹𝗲 𝗦𝗲𝗻𝘀𝗶𝗻𝗴 𝗳𝗼𝗿 𝗘𝗻𝗵𝗮𝗻𝗰𝗲𝗱 𝗦𝗮𝗳𝗲𝘁𝘆 - With precise detection capabilities in all directions, you can fly with confidence, knowing that the drone will better detect obstacles. Worry less about collisions when flying, even first-time users!    𝗨𝗻𝗶𝗻𝘁𝗲𝗿𝗿𝘂𝗽𝘁𝗲𝗱 𝗙𝗹𝗶𝗴𝗵𝘁𝘀 𝘄𝗶𝘁𝗵 𝗘𝘅𝘁𝗲𝗻𝗱𝗲𝗱 𝗕𝗮𝘁𝘁𝗲𝗿𝘆 𝗟𝗶𝗳𝗲 - Experience extended battery life for uninterrupted, longer flights[3]. Say goodbye to battery anxiety, let nothing hold you back as you explore vast landscapes.    𝗜𝗺𝗺𝗲𝗿𝘀𝗲 𝗶𝗻 𝗥𝗲𝗮𝗹-𝘁𝗶𝗺𝗲 𝗔𝗲𝗿𝗶𝗮𝗹 𝗙𝗼𝗼𝘁𝗮𝗴𝗲 𝘄𝗶𝘁𝗵 𝟮𝟬𝗸𝗺 𝗙𝗛𝗗 𝗩𝗶𝗱𝗲𝗼 𝗧𝗿𝗮𝗻𝘀𝗺𝗶𝘀𝘀𝗶𝗼𝗻[2] - An essential for long flights and great high-quality visuals. Experience lag-free image transmission, immersing yourself in real-time aerial views like never before.    𝗖𝘂𝘀𝘁𝗼𝗺𝗶𝘇𝗲 𝗜𝗻𝘁𝗲𝗹𝗹𝗶𝗴𝗲𝗻𝘁 𝗧𝗿𝗮𝗰𝗸𝗶𝗻𝗴 𝘄𝗶𝘁𝗵 𝗘𝗮𝘀𝗲 - Take control of your drone's tracking trajectory with the new ActiveTrack 360°. Achieve complex and seamless operation effects. Even if you're a beginner, getting started and capturing smooth videos is effortless.    Includes DJI Mini 4 Pro, DJI RC 2, one 34 Mins Flight Time Battery, and more. Get precise control with DJI RC 2 featuring a bright screen. Monitor essential info in real time while flying the drone.    𝗜𝗺𝗺𝗲𝗿𝘀𝗶𝘃𝗲 𝗙𝗹𝗶𝗴𝗵𝘁 𝗘𝘅𝗽𝗲𝗿𝗶𝗲𝗻𝗰𝗲 - Unlock immersive flight with DJI RC Motion 2 and DJI Goggles 2 or DJI Goggles Integra (sold separately). Enjoy the real-time camera view transmitted from the aircraft and control the flight with just a slight turn of the wrist, delivering a new and exciting FPV flight experience.",
"GPS Drone with 4K UHD Camera for Adults, TSRC Q7 Foldable FPV RC Quadcopter with Brushless Motor, Smart Return Home, Follow Me, 60 Min Flight Time, Long Control Range, Includes Carrying Bag",109.,4.1 out of 5 stars,755 ratings,In Stock,https://m.media-amazon.com/images/I/71N-tvGcDmL.__AC_SX300_SY300_QL70_ML2_.jpg,"About this item    4K UHD Camera with Image Stabilization: The optimized full HD Camera built with Shock Absorption holder ensures shooting 3840 x 2160 high resolution images and videos without camera vibration. 5GHz ultra-fluent FPV transmission and 90°adjustable lens delivers an even more engaging flying experience.    GPS Assisted Smarter Flight: Never lose the drone. It returns automatically whenever the battery is low, signal is lost or the auto-return button is pressed. Following you automatically, flying along a path you set, or fly around a path you plot makes everything smarter. When you use GPS mode, please fly the drone outdoors in an open and unobstructed environment. Just create to your heart's content and enjoy the flight!    Upgraded Configuration: The 2 enhanced batteries deliver a 60 minutes longer flight. The long-life Brushless Motors have lower power consumption and give you a quieter and stronger flight. The foldable design and well-fitted carrying case make it easier to take the drone outdoors. Notice: Please charge the battery with the 5V/2A charger（Using original charge cables can better prevent short circuits).    Simple Operation: Multi Sensors ensure steady hovering and high quality pictures taken under different flying environments. Optical Flow Positioning makes a great effect when the GPS signal is lost or weak. Multiple functions such as Automatic Take-off/ Landing, Altitude Hold, Emergency Stop and Electric Fence, make everything on drone feel easy, for even beginners.    Considerate Design: With an advanced LED screen remote control, you can easily see the battery level and GPS signal on the LED screen. The control range of the 2.4GHz transmitter reaches 3000 feet high range; 2 throttle modes are available. The smart app supports operating System: IOS 7.0 or later/Android 4.4 or later. Please read the instructions and video carefully before use. Any questions, we are always here for you. Crystal-clear and brilliance moments with ease!    
›  See more product details",
"12Pro Brushless Motor Drone, 4K Adjustable Camera Drone Bottom Camera 2 Batteries Max 40km/h Optical Flow Positioning 5G WiFi FPV Quadcopter for Beginners",49.,3.7 out of 5 stars,8 ratings,In Stock,https://m.media-amazon.com/images/I/71hOy479z1L.__AC_SX300_SY300_QL70_ML2_.jpg,"About this item    4K HD ＆ ESC Camera：Brushless Motor Drone with 2 Camera for Adults 4K.Providing you with high-resolution images, experience immersive landscapes through your drone.135° motorized adjustable camera frees up your hands, allowing you to switch to different directions at any time and see the world from multiple angles.    Level 3 wind resistance+brushless motor: Level 3 wind resistance makes drone flight more stable and can also cope with light wind weather. Equipped with brushless motors, it has lower noise, higher power, stronger power, and longer lifespan. Bringing you a satisfactory flying experience.    5GHz FPV real-time transmission: provides smooth and stable video even at long distances or in complex environments. The drone is equipped with the latest 5Ghz WIFI signal for clear and smooth transmission. Adult 4K brushless motor drone with 2 cameras brings you a stable and timely interface.    Maximum flight speed: The adult 4K brushless motor drone with 2 cameras can fly at a maximum speed of 40 KM/h. The combination of speed and stability with a 135° movable lens results in a better handling experience.    2 MODULAR BATTERIES FOR EXTENDED FLIGHT TIME: 2 removable 3.7V 1600mAh drone batteries, two batteries provide a total of 30 minutes of flight experience.    
›  See more product details",
"TEEROK T18S GPS Drone with Camera for Adults 4K, 5G FPV RC Quadcopter 1640FT Control Range with Auto Return, Follow Me, Brushless Motor, Optical Flow, 44 Mins Long Flight Time",89.,3.9 out of 5 stars,77 ratings,In Stock,https://m.media-amazon.com/images/I/71P+vY5XOkL._AC_SY300_SX300_.jpg,"About this item    【𝟒𝐊 𝐔𝐇𝐃 𝐂𝐚𝐦𝐞𝐫𝐚 𝐚𝐧𝐝 𝐎𝐩𝐭𝐢𝐜𝐚𝐥 𝐅𝐥𝐨𝐰 𝐏𝐨𝐬𝐢𝐭𝐢𝐨𝐧𝐢𝐧𝐠】Equipped with 110° wide-angle and 90° adjustable 4K Ultra Clear Cameras, T18S drone with camera 4K can assist you to catch every wonderful moment from a bird's-eye perspective. Our Optical Flow positioning makes your video more smooth and stable.    【𝐔𝐩𝐠𝐫𝐚𝐝𝐞 𝟓𝐆 𝐖𝐢𝐅𝐢 𝐅𝐏𝐕 𝐓𝐫𝐚𝐧𝐬𝐦𝐢𝐬𝐬𝐢𝐨𝐧】The Upgrade 5G image transmission distance of T18S FPV drone is up to 984ft as well as the control range is up to 1640ft, which delivery a smooth and no lag videos even in a long distance. Stable transmission signal is very important for aerial photograph.Let this 4K drone roam free and bring stunning footage on your go.    【𝐆𝐏𝐒 𝐀𝐮𝐭𝐨 𝐑𝐞𝐭𝐮𝐫𝐧 𝐚𝐧𝐝 𝐀𝐝𝐯𝐚𝐧𝐜𝐞𝐝 𝐅𝐥𝐢𝐠𝐡𝐭 𝐌𝐨𝐝𝐞𝐬】 The adult drone's GPS module records the exact take-off position. If the battery power is low or the signal is lost, you can press the ""One Key Return"" button and this GPS drone will automatically return. The intelligent flight modes enable the drone to fly automatically including Follow-Me mode, wrap-around mode and trajectory flight.    【𝐇𝐢𝐠𝐡 𝐏𝐨𝐰𝐞𝐫 𝐁𝐫𝐮𝐬𝐡𝐥𝐞𝐬𝐬 𝐌𝐨𝐭𝐨𝐫】The powerful brushless motors and a max battery life of 44 minutes providing greater power and wind resistance. Drone brushless motor work running efficiency is several times that of ordinary motors, providing a noiseless flying experience for you and your friends.    【𝐔𝐬𝐞𝐫 𝐅𝐫𝐢𝐞𝐧𝐝𝐥𝐲 𝐰𝐢𝐭𝐡 𝐔𝐩𝐠𝐫𝐚𝐝𝐞𝐝 𝐓𝐄𝐄𝐑𝐎𝐊 𝐂𝐨𝐧𝐭𝐫𝐨𝐥 𝐒𝐲𝐬𝐭𝐞𝐦】: With the latest Intelligent Control System, T18S brushless drone provides headless mode and optical flow positioning for beginners to help you practice the drone control skill. TEEROK 4K drone for adults makes aerial filming easy for the Novice.    【𝐌𝐮𝐥𝐭𝐢𝐩𝐥𝐞 𝐒𝐭𝐮𝐧𝐧𝐢𝐧𝐠 𝐅𝐮𝐧𝐜𝐭𝐢𝐨𝐧𝐬 𝐚𝐧𝐝 𝐌𝐨𝐫𝐞 𝐅𝐮𝐧】T18S drone with camera for adults 4K makes aerial filming easy for you. Multiple Intelligent functions such as one key Take-off/Landing, altitude hold system, auto return are devised for the beginners. 3 speeds adjustment provide more options for pilots. Functions like Follow Me, Waypoint Flight and Point of Interest can enhance the flying experience.    【𝐆𝐫𝐞𝐚𝐭 𝐓𝐫𝐚𝐯𝐞𝐥 𝐂𝐨𝐦𝐩𝐚𝐧𝐢𝐨𝐧】 The foldable fuselage design makes T18S rc drone with camera for adults kids compact and portable. This FPV drone for adults comes with a carrying bag, enabling you to take it outdoors for traveling more conveniently. Less than 250 gram, there is no need FAA or Remote ID registration.    
›  See more product details",
"Drones with Camera for adults 4K - Toys Gifts for Kids, Adults, Beginner - RC Quadcopter WiFi FPV Live Video, Foldable, Carrying Case, Adjustable Lens, One Key Take Off/Land, Brushless Motor",99.,3.8 out of 5 stars,167,In Stock,https://m.media-amazon.com/images/I/71YWctGqNaL.__AC_SX300_SY300_QL70_ML2_.jpg,"About this item    4K UHD Camera: The 90° adjustable 4K camera with a 110° FOV lens ensures stunning high-resolution images and videos, providing you with an exceptional aerial photography experience.    More Cameras + Optical Flow Positioning Sensor: With more cameras than other drones, including a camera at the bottom, you can capture unexpected images from unique angles. The built-in optical flow positioning system allows for accurate hovering when flying indoors, providing excellent stability and confidence for beginners.    Power Motor + 4 Wind Resistance Levels: The brushless motor arms provide strong power for stable and fast flight, while the 4 wind resistance levels allow you to fly in windy areas, such as the beach. The unique process of brushless motors makes them less noisy and longer-lasting than brushed motors, providing a perfect flying experience.    Powerful and Fun to Fly: With one-touch take-off, altitude hold, and headless mode, this drone is easy for beginners to fly. Additionally, features like Gravity Control, Altitude Hold, Headless Mode, Speed Adjustment, and 3D Flips provide endless possibilities for creating unique works.    Advanced Design: The beautiful and futuristic foldable design of the EC110, along with the included carrying case, provides complete freedom to take your drone wherever you want to go. Weighing less than 250g, this drone saves you from FAA registration requirements.    Customer Service: As a first-time drone user, you may have questions about features like taking photos, take-off, landing, general maintenance, and repairs. Our dedicated customer service representatives are always available to assist you and solve any issues in a timely manner.    
›  See more product details",
"DJI Mini 3 (DJI RC), Lightweight Mini Drone with 4K HDR Video, 38-Min Flight Time, True Vertical Shooting, Return to Home, up to 10km Video Transmission, Drone with Camera for Beginners",609.,4.5 out of 5 stars,"2,723 ratings",In Stock,https://m.media-amazon.com/images/I/61Yoga5FJlL.__AC_SX300_SY300_QL70_ML2_.jpg,"About this item    Lightweight and Compact - Mini 3 weighs under 249 g. Perfect for taking with you on your adventures, from hikes, road trips, and beach days.    DJI Mini 3's flight time can be extended up to 51 mins with the Intelligent Flight Battery Plus (sold separately and only in select countries), but the aircraft will weigh more than 249 g.    For the latest aircraft firmware, the Remote ID will only be activated when the Intelligent Flight Battery Plus is used. If your drone needs to be registered, such as flights for commercial purposes, please fly with the Intelligent Flight Battery Plus.    Stunning Imagery - Film in 4K HDR Video for crystal clear aerial shots. Capture details in highlights and shadows, both day and night.    Striking Vertical Videos are Ready to Share - With True Vertical Shooting, you can easily capture tall landmarks like skyscrapers and waterfalls. And after capturing, it's in the perfect orientation to post to Instagram or TikTok.    Creative Features for Advanced Shots - Epic shots are at your fingertips. Use QuickShots to choose dynamic flight patterns or capture a stunning view with Panorama.    38kph (level 5) Wind Resistance for Stable Flight - Don't let a little wind get in your way. Mini 3 is resistant to 38kph winds (levl 5), so you can stay steady and capture your shot.    Includes the new DJI RC, which has the DJI Fly App pre-installed and a built-in 5.5-inch HD display for crisp viewing even in direct sunlight.",
"Potensic ATOM 3-Axis Gimbal 4K GPS Drone, Under 249g, 96 Mins Flight, Max 6KM Transmission, Visual Tracking, 4K/30FPS QuickShots, Lightweight for Adults and Beginners, Fly More Combo",359.,4.7 out of 5 stars,"1,300 ratings",In Stock,https://m.media-amazon.com/images/I/61jRqC2QCpL.__AC_SX300_SY300_QL70_ML2_.jpg,"About this item    【𝐋𝐢𝐠𝐡𝐭𝐰𝐞𝐢𝐠𝐡𝐭, 𝐥𝐞𝐬𝐬 𝐭𝐡𝐚𝐧 𝟐𝟒𝟗𝐠】 The palm-sized drone, ATOM, 𝐝𝐨𝐞𝐬𝐧'𝐭 𝐫𝐞𝐪𝐮𝐢𝐫𝐞 𝐅𝐀𝐀 𝐨𝐫 𝐑𝐞𝐦𝐨𝐭𝐞 𝐈𝐃 𝐫𝐞𝐠𝐢𝐬𝐭𝐫𝐚𝐭𝐢𝐨𝐧. The compact design and 𝐬𝐭𝐨𝐫𝐚𝐠𝐞 𝐛𝐚𝐠 make it easy to carry along on adventures.    【𝐑𝐨𝐜𝐤 𝐒𝐭𝐞𝐚𝐝𝐲 𝟒𝐊 𝟑-𝐀𝐱𝐢𝐬 𝐆𝐢𝐦𝐛𝐚𝐥】Equipped with 𝐒𝐎𝐍𝐘 𝐂𝐌𝐎𝐒 𝐒𝐞𝐧𝐬𝐨𝐫 and a 𝟏𝟐𝐌𝐏 camera capable of recording 𝟒𝐊/𝟑𝟎𝐟𝐩𝐬 video, the ATOM drone with camera for adults 4k delivers respectable image and video quality. The 𝟑-𝐚𝐱𝐢𝐬 𝐛𝐫𝐮𝐬𝐡𝐥𝐞𝐬𝐬 𝐠𝐢𝐦𝐛𝐚𝐥 ensures smooth and steady footage even in 𝐥𝐞𝐯𝐞𝐥-𝟓 𝐰𝐢𝐧𝐝𝐲 𝐜𝐨𝐧𝐝𝐢𝐭𝐢𝐨𝐧𝐬.    【𝟏.𝟓𝐇 𝐅𝐚𝐬𝐭 𝐂𝐡𝐚𝐫𝐠𝐞, 𝟗𝟔 𝐌𝐢𝐧𝐬 𝐋𝐨𝐧𝐠 𝐅𝐥𝐢𝐠𝐡𝐭 𝐰𝐢𝐭𝐡 𝟑 𝐁𝐚𝐭𝐭𝐞𝐫𝐢𝐞𝐬 】ATOM Fly More Combo has a parallel charging hub supporting 𝟔𝟎𝐖 𝐟𝐮𝐥𝐥 𝐪𝐮𝐢𝐜𝐤-𝐜𝐡𝐚𝐫𝐠𝐞 𝐟𝐨𝐫 𝟑 𝐛𝐚𝐭𝐭𝐞𝐫𝐢𝐞𝐬 𝐚𝐭 𝐨𝐧𝐜𝐞 𝐢𝐧 𝟏.𝟓 𝐡𝐨𝐮𝐫𝐬. The 𝟑 𝐛𝐚𝐭𝐭𝐞𝐫𝐢𝐞𝐬 𝐤𝐢𝐭 provides ample time for exploration. 𝐋𝐢𝐦𝐢𝐭𝐞𝐝 𝐓𝐢𝐦𝐞 𝐁𝐨𝐧𝐮𝐬: 𝟔𝟒𝐆𝐁 𝐦𝐢𝐜𝐫𝐨 𝐒𝐃 𝐜𝐚𝐫𝐝 𝐗 𝟏    【𝐒𝐮𝐫𝐠𝐞𝐅𝐥𝐲, 𝐌𝐚𝐱 𝟔𝐊𝐌 𝐓𝐫𝐚𝐧𝐬𝐦𝐢𝐬𝐬𝐢𝐨𝐧】 𝐔𝐩𝐠𝐫𝐚𝐝𝐞𝐝 𝐏𝐢𝐱𝐒𝐲𝐧𝐜 𝟑.𝟎 technology ensures stronger anti-interference compatibilities and a farther 𝐭𝐫𝐚𝐧𝐬𝐦𝐢𝐬𝐬𝐢𝐨𝐧 𝐫𝐚𝐧𝐠𝐞 𝐮𝐩 𝐭𝐨 𝟔𝐊𝐌/𝟐𝟎𝟎𝟎𝟎𝐟𝐭. The intuitive remote control makes it 𝐞𝐚𝐬𝐲 𝐚𝐧𝐝 𝐟𝐥𝐞𝐱𝐢𝐛𝐥𝐞 𝐭𝐨 𝐜𝐨𝐧𝐭𝐫𝐨𝐥 the drone with confidence.    【𝐂𝐫𝐞𝐚𝐭𝐢𝐯𝐞 𝐅𝐞𝐚𝐭𝐮𝐫𝐞𝐬, 𝐕𝐢𝐬𝐮𝐚𝐥 𝐓𝐫𝐚𝐜𝐤𝐢𝐧𝐠 𝐚𝐧𝐝 𝐐𝐮𝐢𝐜𝐤𝐒𝐡𝐨𝐭𝐬】 The ATOM drone with camera supports accurate 𝐕𝐢𝐬𝐮𝐚𝐥 𝐓𝐫𝐚𝐜𝐤𝐢𝐧𝐠 and 𝐐𝐮𝐢𝐜𝐤𝐒𝐡𝐨𝐭𝐬 like 𝐏𝐮𝐥𝐥-𝐀𝐰𝐚𝐲, 𝐑𝐨𝐜𝐤𝐞𝐭, 𝐂𝐢𝐫𝐜𝐥𝐞, 𝐒𝐩𝐢𝐫𝐚𝐥, 𝐚𝐧𝐝 𝐁𝐨𝐨𝐦𝐞𝐫𝐚𝐧𝐠, giving you more freedom to record the creative moments around you. 𝐄𝐯𝐞𝐫𝐲𝐨𝐧𝐞 𝐜𝐚𝐧 𝐦𝐚𝐤𝐞 𝐜𝐢𝐧𝐞𝐦𝐚𝐭𝐢𝐜 𝐯𝐢𝐝𝐞𝐨𝐬.    【𝐁𝐞𝐠𝐢𝐧𝐧𝐞𝐫 𝐅𝐫𝐢𝐞𝐧𝐝𝐥𝐲, 𝐀𝐮𝐭𝐨 𝐑𝐞𝐭𝐮𝐫𝐧】The drone's 𝐞𝐧𝐡𝐚𝐧𝐜𝐞𝐝 𝐆𝐏𝐒 capabilities and return-to-home feature contribute to steady aerial shots and safe flight, allowing the drone with camera to return to its takeoff point with a tap on the phone.    【𝐀𝐥𝐰𝐚𝐲𝐬 𝐈𝐦𝐩𝐫𝐨𝐯𝐢𝐧𝐠】 All firmware supports FOTA, we recommend keeping up to date with the latest firmware to enjoy the ever-improving flight experience and shooting quality.    
›  See more product details",
"Drone with Camera for Adults, 1080P HD Mini FPV Drones for Kids Beginners, Foldable RC Quadcopter Toys Gifts for Boys Girls with Altitude Hold, 3D Flip, 3 Speeds, Headless Mode, Carrying Case",25.,4.0 out of 5 stars,45 ratings,In Stock,https://m.media-amazon.com/images/I/71p+8JhzxvL._AC_SY300_SX300_.jpg,"About this item    【1080P HD Camera & Live Video】-- Upgrade 1080P HD wide-angle camera with 90° adjustable angle, capture the video and photos and share instantly on social media through APP control, This camera drone quipped with built-in camera and advanced FPV transmission tech, the drone can deliver 1080P image/video, you can see beautiful scenery from different perspectives in real-time. Show “V” or “palm” gesture to let the drone with camera recognize and take pictures or video.    【More Fun to Fly】-- Our drone with camera can perform 360° flips and rolls, makes fly more attractive.You can define an exact flying route on the App map, the drone will fly following the path, brings you wonderful flying experiences. Show “V” or “palm” gesture to let the camera drone recognize and take pictures or video. Headless mode enable the player to play the drone without worrying about what direction it is facing, especially when the drone is far away.    【Easy For Kids & Beginners】- This mini drone has 3-adjustable speeds allows beginners/kids to quickly master the function, and also allows advanced players to enjoy the fun of shifting. One Key Start/Landing helps to take it off or land it easily. Headless Mode, Altitude Hold, Hand Gesture Photo/Video. Best choice with enough fun for beginners. Uiqozok RC quadcopter also comes with four protective propeller guards, to avoid propeller damage during flight and extend the drone life.    【 26 Mins Flight Time & Safe Design 】-- Enjoy up to 26 minutes of flight time with two modular batteries. Upgraded charging cable uses imported chips for overvoltage protection to prevent accidents caused by incorrect charging. The RC quadcopter has protective propeller guards to ensure safe flight for you. High quality ABS material and emergency stop function to free your worries of a drop. When in low battery, the lights of the drone continue to flash, you can operate it return to avoid loss.    【Idea Gifts & Quality service 】-- The foldable design make this quadcopter drone small, and comes with a handy carry case can easy to take out to have fun with your family when going outside.This is an ideal gift for your children, friends, husband or family on birthdays, Christmas, Father's Day or other holidays. If the drone/remote control/APP has any issue during flight, please email seller and we'll provide 24hrs technical support.    
›  See more product details",
"12Pro Brushless Motor Drone, 4K Adjustable Camera Drone Bottom Camera 2 Batteries Max 40km/h Optical Flow Positioning 5G WiFi FPV Quadcopter for Beginners",49.,3.7 out of 5 stars,8,In Stock,https://m.media-amazon.com/images/I/71hOy479z1L.__AC_SX300_SY300_QL70_ML2_.jpg,"About this item    4K HD ＆ ESC Camera：Brushless Motor Drone with 2 Camera for Adults 4K.Providing you with high-resolution images, experience immersive landscapes through your drone.135° motorized adjustable camera frees up your hands, allowing you to switch to different directions at any time and see the world from multiple angles.    Level 3 wind resistance+brushless motor: Level 3 wind resistance makes drone flight more stable and can also cope with light wind weather. Equipped with brushless motors, it has lower noise, higher power, stronger power, and longer lifespan. Bringing you a satisfactory flying experience.    5GHz FPV real-time transmission: provides smooth and stable video even at long distances or in complex environments. The drone is equipped with the latest 5Ghz WIFI signal for clear and smooth transmission. Adult 4K brushless motor drone with 2 cameras brings you a stable and timely interface.    Maximum flight speed: The adult 4K brushless motor drone with 2 cameras can fly at a maximum speed of 40 KM/h. The combination of speed and stability with a 135° movable lens results in a better handling experience.    2 MODULAR BATTERIES FOR EXTENDED FLIGHT TIME: 2 removable 3.7V 1600mAh drone batteries, two batteries provide a total of 30 minutes of flight experience.    
›  See more product details",
